timeframe,leverage,channel,atr_mult,rr_ratio,trades,win_rate,pnl,return_pct,max_dd,sharpe,profit_factor,avg_win,avg_loss,sl_hits,tp_hits,mkt_close
5m,20,20,2,3,7410,28.2,-9999,-100.0,100.0,-1.36,0.82,22,-11,5144,1598,668
5m,20,20,3,1.5,7296,42.0,-9892,-98.9,99.4,-0.87,0.93,45,-35,3933,2624,739
5m,20,20,3,2,6064,36.7,-9842,-98.4,99.2,-0.67,0.93,62,-39,3594,1722,748
5m,20,20,3,3,4932,30.9,-9548,-95.5,98.5,-0.23,0.94,91,-44,3207,978,747
5m,20,50,1,1.5,2399,37.3,-9999,-100.0,100.0,-13.10,0.74,32,-26,1488,880,31
5m,20,50,1,2,2083,30.3,-9999,-100.0,100.0,-12.04,0.75,46,-27,1434,613,36
5m,20,50,1,3,1844,22.4,-9999,-100.0,100.0,-10.29,0.83,119,-41,1416,386,42
5m,20,50,2,1.5,7358,40.5,-9999,-100.0,100.0,-2.63,0.88,24,-18,4204,2751,403
5m,20,50,2,2,7257,35.7,-9956,-99.6,99.9,-0.81,0.92,46,-27,4469,2269,519
5m,20,50,2,3,5899,28.8,-9961,-99.6,99.9,-0.67,0.90,52,-23,4043,1276,580
5m,20,50,3,1.5,5800,42.0,-9491,-94.9,97.7,-0.53,0.93,49,-38,3093,2072,635
5m,20,50,3,2,4948,36.9,-9577,-95.8,98.5,-0.52,0.93,74,-47,2902,1378,668
5m,20,50,3,3,4144,30.9,-9313,-93.1,98.2,-0.23,0.93,90,-43,2663,799,682
5m,20,100,1,1.5,2908,38.1,-9999,-100.0,100.0,-9.03,0.74,26,-21,1787,1077,44
5m,20,100,1,2,2738,32.0,-9999,-100.0,100.0,-7.59,0.74,32,-20,1850,840,48
5m,20,100,1,3,2604,24.7,-9999,-100.0,100.0,-5.84,0.80,64,-26,1939,589,76
5m,20,100,2,1.5,6166,41.4,-9943,-99.4,99.7,-1.23,0.91,39,-30,3471,2344,351
5m,20,100,2,2,5279,36.3,-9015,-90.2,97.4,-0.12,0.96,126,-74,3225,1657,397
5m,20,100,2,3,4377,29.9,-6329,-63.3,89.2,0.42,0.98,227,-99,2951,970,456
5m,20,100,3,1.5,4387,43.1,-6165,-61.6,86.6,0.10,0.98,158,-122,2300,1568,519
5m,20,100,3,2,3796,38.1,-6351,-63.5,86.8,0.12,0.97,163,-103,2183,1058,555
5m,20,100,3,3,3234,32.7,-399,-4.0,86.1,0.58,1.00,294,-143,2033,622,579
5m,200,20,1,1.5,2382,35.9,-10000,-100.0,100.0,-18.80,0.71,28,-22,1508,837,37
5m,200,20,1,2,2139,29.1,-10000,-100.0,100.0,-16.39,0.71,40,-23,1495,604,40
5m,200,20,1,3,2206,22.8,-10000,-100.0,100.0,-9.78,0.82,91,-33,1681,464,61
5m,200,20,2,1.5,5683,39.9,-10000,-100.0,100.0,-4.54,0.85,25,-20,3296,2089,298
5m,200,20,2,2,6956,34.6,-10000,-100.0,100.0,-2.04,0.90,39,-23,4389,2095,472
5m,200,20,2,3,7868,28.3,-9997,-100.0,100.0,-0.97,0.82,21,-10,5457,1704,707
5m,200,20,3,1.5,7296,42.0,-9885,-98.9,99.4,-0.85,0.94,47,-36,3933,2624,739
5m,200,20,3,2,6064,36.7,-9818,-98.2,99.1,-0.62,0.94,65,-40,3594,1722,748
5m,200,20,3,3,4932,30.9,-9576,-95.8,98.6,-0.25,0.93,89,-43,3207,978,747
5m,200,50,1,1.5,2647,37.1,-10000,-100.0,100.0,-9.98,0.74,29,-23,1647,966,34
5m,200,50,1,2,2189,30.0,-10000,-100.0,100.0,-11.49,0.74,43,-25,1514,637,38
5m,200,50,1,3,2218,22.9,-10000,-100.0,100.0,-7.01,0.83,94,-34,1693,471,54
5m,200,50,2,1.5,8066,40.5,-10000,-100.0,100.0,-2.45,0.88,22,-17,4598,3025,443
5m,200,50,2,2,7257,35.6,-9959,-99.6,99.9,-0.83,0.92,45,-27,4469,2269,519
5m,200,50,2,3,5899,28.8,-9967,-99.7,99.9,-0.71,0.89,50,-22,4043,1276,580
5m,200,50,3,1.5,5800,42.0,-9517,-95.2,97.8,-0.55,0.93,49,-38,3093,2072,635
5m,200,50,3,2,4948,36.9,-9582,-95.8,98.5,-0.53,0.93,73,-46,2902,1378,668
5m,200,50,3,3,4144,30.9,-9305,-93.0,98.1,-0.23,0.93,91,-44,2663,799,682
5m,200,100,1,1.5,3415,38.4,-10000,-100.0,100.0,-6.61,0.74,22,-18,2085,1278,52
5m,200,100,1,2,3180,32.4,-10000,-100.0,100.0,-7.01,0.73,27,-17,2133,989,58
5m,200,100,1,3,3456,25.0,-10000,-100.0,100.0,-4.21,0.81,49,-20,2565,787,104
5m,200,100,2,1.5,6166,41.4,-9944,-99.4,99.7,-1.24,0.91,39,-30,3471,2344,351
5m,200,100,2,2,5279,36.4,-9073,-90.7,97.6,-0.14,0.96,121,-72,3225,1657,397
5m,200,100,2,3,4377,29.9,-6473,-64.7,89.6,0.40,0.98,219,-95,2951,970,456
5m,200,100,3,1.5,4387,43.1,-6354,-63.5,87.0,0.08,0.98,154,-119,2300,1568,519
5m,200,100,3,2,3796,38.1,-6361,-63.6,87.0,0.12,0.97,162,-102,2183,1058,555
5m,200,100,3,3,3234,32.7,-966,-9.7,86.7,0.56,1.00,286,-139,2033,622,579
